,Time,Upper,Under
31,2022-08-11 08:31:30+00:00,285.0709069621563,283.6089069621564
35,2022-08-11 08:32:30+00:00,285.0509069621563,283.83890696215644
39,2022-08-11 08:33:30+00:00,285.0889069621563,284.2609069621564
43,2022-08-11 08:34:30+00:00,285.0579069621563,283.55190696215647
47,2022-08-11 08:35:30+00:00,285.0089069621563,283.81890696215646
51,2022-08-11 08:36:30+00:00,284.8599069621563,284.0659069621564
55,2022-08-11 08:37:30+00:00,284.6689069621563,284.2769069621564
59,2022-08-11 08:38:30+00:00,284.7289069621564,284.0789069621564
62,2022-08-11 08:39:30+00:00,284.8899069621563,284.6079069621564
65,2022-08-11 08:40:30+00:00,284.85290696215634,284.56890696215635
68,2022-08-11 08:41:30+00:00,284.8429069621563,284.5529069621563
71,2022-08-11 08:42:30+00:00,284.8529069621563,284.5269069621564
74,2022-08-11 08:43:30+00:00,284.8789069621563,284.52090696215635
77,2022-08-11 08:44:30+00:00,284.8659069621563,284.43190696215635
81,2022-08-11 08:45:30+00:00,284.60790696215633,284.01190696215644
84,2022-08-11 08:46:30+00:00,284.5869069621563,283.9189069621564
87,2022-08-11 08:47:30+00:00,284.6419069621563,283.82990696215643
90,2022-08-11 08:48:30+00:00,284.7509069621563,283.8329069621564
93,2022-08-11 08:49:30+00:00,284.8449069621563,283.95890696215645
96,2022-08-11 08:50:30+00:00,284.80990696215633,283.77590696215645
99,2022-08-11 08:51:30+00:00,285.11790696215627,284.9819069621563
11,2022-08-11 09:03:30+00:00,284.74490696215634,284.44690696215633
14,2022-08-11 09:04:30+00:00,284.68690696215634,284.4549069621564
17,2022-08-11 09:05:30+00:00,284.67690696215635,284.4489069621564
20,2022-08-11 09:06:30+00:00,284.6659069621563,284.4279069621564
23,2022-08-11 09:07:30+00:00,284.6709069621563,284.43490696215633
26,2022-08-11 09:08:30+00:00,284.7029069621563,284.44690696215633
29,2022-08-11 09:09:30+00:00,284.6769069621563,284.41890696215637
33,2022-08-11 09:10:30+00:00,284.66690696215636,284.43090696215637
37,2022-08-11 09:11:30+00:00,284.6669069621563,284.43890696215635
41,2022-08-11 09:12:30+00:00,284.6879069621563,284.4499069621564
45,2022-08-11 09:13:30+00:00,284.6779069621563,284.42190696215636
49,2022-08-11 09:14:30+00:00,284.65990696215636,284.39990696215636
53,2022-08-11 09:15:30+00:00,284.63790696215636,284.3719069621564
57,2022-08-11 09:16:30+00:00,284.61490696215634,284.3669069621564
78,2022-08-11 09:23:30+00:00,284.72990696215635,284.0119069621564
80,2022-08-11 09:24:30+00:00,284.73890696215636,284.0649069621564
83,2022-08-11 09:25:30+00:00,284.71590696215634,284.50390696215635
86,2022-08-11 09:26:30+00:00,284.6779069621563,284.45590696215635
89,2022-08-11 09:27:30+00:00,284.60290696215634,284.01690696215644
92,2022-08-11 09:28:30+00:00,284.59990696215635,284.0199069621564
95,2022-08-11 09:29:30+00:00,284.61490696215634,284.0309069621564
98,2022-08-11 09:30:30+00:00,284.63390696215635,284.0599069621564
101,2022-08-11 09:31:30+00:00,284.6569069621563,284.0869069621564
103,2022-08-11 09:32:30+00:00,284.66190696215637,284.1019069621564
105,2022-08-11 09:33:30+00:00,284.6979069621563,284.1459069621564
107,2022-08-11 09:34:30+00:00,284.71090696215634,284.1209069621564
109,2022-08-11 09:35:30+00:00,284.6019069621563,284.0159069621564
111,2022-08-11 09:36:30+00:00,284.56490696215633,284.0669069621564
0,2022-08-11 09:37:30+00:00,284.54990696215634,284.12590696215636
2,2022-08-11 09:38:30+00:00,284.5749069621564,284.1709069621564
4,2022-08-11 09:39:30+00:00,284.59790696215634,284.20790696215636
6,2022-08-11 09:40:30+00:00,284.6229069621563,284.2589069621564
8,2022-08-11 09:41:30+00:00,284.65490696215636,284.3129069621564
10,2022-08-11 09:42:30+00:00,284.6639069621563,284.3199069621564
13,2022-08-11 09:43:30+00:00,284.66790696215634,284.4239069621563
16,2022-08-11 09:44:30+00:00,284.66090696215633,284.4129069621564
19,2022-08-11 09:45:30+00:00,284.64390696215634,284.39790696215636
22,2022-08-11 09:46:30+00:00,284.63390696215635,284.3759069621564
25,2022-08-11 09:47:30+00:00,284.6289069621563,284.37090696215637
28,2022-08-11 09:48:30+00:00,284.64890696215633,284.3909069621564
32,2022-08-11 09:49:30+00:00,284.69890696215634,284.36290696215633
36,2022-08-11 09:50:30+00:00,284.54890696215637,284.25090696215636
40,2022-08-11 09:51:30+00:00,284.9499069621563,284.48790696215633
44,2022-08-11 09:52:30+00:00,285.0829069621563,284.8529069621563
48,2022-08-11 09:53:30+00:00,285.1119069621563,284.9719069621563
52,2022-08-11 09:54:30+00:00,285.1339069621563,285.0659069621563
56,2022-08-11 09:55:30+00:00,284.72790696215634,284.04390696215637
60,2022-08-11 09:56:30+00:00,284.53990696215635,284.1619069621564
63,2022-08-11 09:57:30+00:00,284.4739069621563,284.1199069621564
66,2022-08-11 09:58:30+00:00,284.4019069621564,284.0799069621564
69,2022-08-11 09:59:30+00:00,284.36290696215633,284.0469069621564
72,2022-08-11 10:00:30+00:00,284.3459069621564,284.0339069621564
75,2022-08-11 10:01:30+00:00,284.3319069621563,284.0059069621564
79,2022-08-11 10:02:30+00:00,285.1139069621563,284.9839069621563
82,2022-08-11 10:03:30+00:00,285.1309069621563,285.0529069621563
85,2022-08-11 10:04:30+00:00,285.0939069621563,284.0959069621564
88,2022-08-11 10:05:30+00:00,285.14190696215627,285.1059069621563
91,2022-08-11 10:06:30+00:00,,
94,2022-08-11 10:07:30+00:00,,
97,2022-08-11 10:08:30+00:00,284.6659069621563,284.1479069621564
100,2022-08-11 10:09:30+00:00,,
102,2022-08-11 10:10:30+00:00,,
104,2022-08-11 10:11:30+00:00,284.5459069621563,283.9759069621564
106,2022-08-11 10:12:30+00:00,284.6099069621563,284.0279069621564
108,2022-08-11 10:13:30+00:00,285.08190696215627,283.38590696215647
110,2022-08-11 10:14:30+00:00,285.0899069621563,284.9219069621563
112,2022-08-11 10:15:30+00:00,285.0939069621563,284.9019069621563
1,2022-08-11 10:16:30+00:00,285.0819069621563,284.8619069621563
3,2022-08-11 10:17:30+00:00,284.82190696215633,284.3239069621564
5,2022-08-11 10:18:30+00:00,284.71790696215635,284.1879069621564
7,2022-08-11 10:19:30+00:00,284.6639069621563,283.97590696215644
9,2022-08-11 10:20:30+00:00,284.59490696215636,283.85090696215644
12,2022-08-11 10:21:30+00:00,284.56190696215634,283.77790696215646
15,2022-08-11 10:22:30+00:00,,
18,2022-08-11 10:23:30+00:00,284.90990696215636,284.2359069621564
21,2022-08-11 10:24:30+00:00,284.9339069621563,284.4299069621564
24,2022-08-11 10:25:30+00:00,284.82390696215634,283.9899069621564
27,2022-08-11 10:26:30+00:00,,
